metric,period,value,unit,source
annual_total_revenue,2015,16060,USD_million,MacroTrends/company filings
annual_total_revenue,2016,16611,USD_million,MacroTrends/company filings
annual_total_revenue,2017,16967,USD_million,MacroTrends/company filings
annual_total_revenue,2018,17099,USD_million,MacroTrends/company filings
annual_total_revenue,2019,18291,USD_million,MacroTrends/company filings
annual_total_revenue,2020,19448,USD_million,MacroTrends/company filings
annual_total_revenue,2021,22401,USD_million,MacroTrends/company filings
annual_total_revenue,2022,25057,USD_million,MacroTrends/company filings
annual_total_revenue,2023,33724,USD_million,MacroTrends/company filings
annual_total_revenue,2024,42108,USD_million,MacroTrends/company filings
annual_total_revenue,2025,46792,USD_million,MacroTrends/company filings
segment_revenue_diabetes_obesity,2019,102840,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_diabetes_obesity,2020,108020,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_diabetes_obesity,2021,121597,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_diabetes_obesity,2022,156412,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_diabetes_obesity,2023,215098,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_diabetes_obesity,2024,271764,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2019,19181,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2020,18926,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2021,19203,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2022,20542,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2023,17163,DKK_million,Novo Nordisk Annual Report (20-F)
segment_revenue_rare_disease,2024,18639,DKK_million,Novo Nordisk Annual Report (20-F)
quarterly_total_revenue,2023-Q1,7690,USD_million,MacroTrends
quarterly_total_revenue,2023-Q2,7933,USD_million,MacroTrends
quarterly_total_revenue,2023-Q3,8575,USD_million,MacroTrends
quarterly_total_revenue,2023-Q4,9526,USD_million,MacroTrends
quarterly_total_revenue,2024-Q1,9515,USD_million,MacroTrends
quarterly_total_revenue,2024-Q2,9821,USD_million,MacroTrends
quarterly_total_revenue,2024-Q3,10511,USD_million,MacroTrends
quarterly_total_revenue,2024-Q4,12261,USD_million,MacroTrends
quarterly_total_revenue,2025-Q1,11018,USD_million,MacroTrends
quarterly_total_revenue,2025-Q2,11690,USD_million,MacroTrends
quarterly_total_revenue,2025-Q3,11741,USD_million,MacroTrends
quarterly_total_revenue,2025-Q4,12343,USD_million,MacroTrends
quarterly_total_revenue,2026-Q1,15162,USD_million,MacroTrends
